Category,Platform Name,Official Website,Referral Link,Notes,Status
CEXs,Coinbase,https://www.coinbase.com,https://coinbase.com/join/GMDY5QT?src=referral-link,,Existing
CEXs,Bitget,https://www.bitget.com,https://www.bitget.com/en/register?clacCode=VTY1Y59W,,Existing
CEXs,Kucoin,https://www.kucoin.com,https://www.kucoin.com/r/rf/QBSH2GSC,,Existing
CEXs,Kraken,https://www.kraken.com,https://invite.kraken.com/JDNW/b4ajgc01,,Existing
CEXs,Crypto.com,https://crypto.com,https://crypto.com/app/kvkzx67s6g,,Existing
CEXs,Binance,https://www.binance.com,https://www.binance.com/referral/mystery-box/eu-rewardbox/claim?ref=GRO_18422_546H9,VPN,Missing - Top Priority
CEXs,Bybit,https://www.bybit.com,,VPN,Missing - High Growth
CEXs,OKX,https://www.okx.com,,VPN,Missing - Top 5
CEXs,Gate.io,https://www.gate.com,,VPN,Missing - High Commission
CEXs,MEXC,https://www.mexc.com,https://promote.mexc.com/r/Ktlr5gDh,,Missing - Regional Strong
CEXs,HTX,https://www.htx.com,,VPN,Missing - Established
CEXs,Gemini,https://www.gemini.com,,VPN,Missing - US Licensed
CEXs,Bitfinex,https://www.bitfinex.com,,VPN,Missing - Professional
CEXs,Bitstamp,https://www.bitstamp.net,,,Missing - EU Largest
CEXs,Upbit,https://upbit.com,,,Missing - Korea Market
DEXs,Drift,https://www.drift.trade,https://app.drift.trade/ref/d3x7,,Existing
DEXs,Jupiter,https://jup.ag,,,Existing
DEXs,Hyperliquid,https://hyperliquid.xyz,,VPN,Existing
DEXs,Raydium,https://raydium.io,https://raydium.io/swap/?inputMint=sol&outputMint=Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB&referrer=J8sjLn3V7zCBbdiFWr6fGwQAXX75N2LcZiH8cUW1eeZx,,Existing
DEXs,Uniswap,https://uniswap.org,,,Existing
DEXs,Pancakeswap,https://pancakeswap.finance,,,Existing
DEXs,Birdeye,https://birdeye.so,,,Existing
DEXs,Sushi,https://www.sushi.com,,,Existing
DEXs,pond0x,https://www.pond0x.com,https://pond0x.com/swap/solana?ref=NvzPgWQmUciU94Cz5bu6S7s3DS8DDCBj6MuxozPp51f4SA6Kp3uzfTM93SKB,,Existing
DEXs,syncswap,https://syncswap.xyz,,,Existing
DEXs,ambient finance,https://ambient.finance,,,Existing
DEXs,izumi finance,https://izumi.finance,,,Existing
DEXs,butter,https://butter.xyz,,,Existing
DEXs,supswap,https://supswap.xyz,,,Existing
DEXs,demmex,https://demmex.io,,,Existing
DEXs,Logx,https://logx.trade,,,Existing
DEXs,satori finance,https://satori.finance,,,Existing
DEXs,lyra,https://lyra.finance,,,Existing
DEXs,zeta,https://zeta.markets,,,Existing
DEXs,aevo,https://www.aevo.xyz,,,Existing
DEXs,intentx,https://intentx.io,,,Existing
DeFi,Dexscreener,https://dexscreener.com,,,Existing
DeFi,Pumpfun,https://pump.fun,,,Existing
DeFi,Odinfun,https://odin.fun,,,Existing
DeFi,blazestake,https://stake.solblaze.org,,,Existing
DeFi,Kamino,https://kamino.finance,,,Existing
DeFi,Orca,https://www.orca.so,,,Existing
DeFi,Meteora,https://meteora.ag,,,Existing
DeFi,Marginfi,https://www.marginfi.com,https://app.marginfi.com/refer/ee04714f-2562-453f-b258-8c32ad434246,,Existing
DeFi,Eigenlayer,https://www.eigenlayer.xyz,,,Existing
DeFi,Helio,https://helio.money,,,Existing
DeFi,Debank,https://debank.com,,,Existing
DeFi,Matcha,https://matcha.xyz,,,Existing
DeFi,Matchain,https://matchain.io,,,Existing
DeFi,Kuru,https://kuru.finance,,,Existing
DeFi,Cetus,https://www.cetus.zone,,,Existing
DeFi,Suilend,https://suilend.fi,,,Existing
DeFi,carv,https://carv.io,,,Existing
DeFi,aeitheir,https://aether.fi,,,Existing
DeFi,parcl,https://parcl.co,,,Existing
DeFi,assetdash,https://assetdash.com,https://bit.ly/3dNXbSJ,,Existing
DeFi,sharkyfi,https://sharky.fi,,,Existing
Marketplace,Opensea,https://opensea.io,,,Existing
Marketplace,Blur,https://blur.io,,,Existing
Marketplace,Magiceden,https://magiceden.io,,,Existing
Marketplace,Sniper xyz,https://sniper.xyz,,,Existing
Marketplace,Tensor,https://www.tensor.trade,,,Existing
Marketplace,Opensea pro,https://pro.opensea.io,,,Existing
Marketplace,Whalesmarket,https://whalesmarket.xyz,https://pro.whales.market/?r=935784,,Existing
Marketplace,Rairable,https://rarible.com,,,Existing
Marketplace,Launchmynft,https://launchmynft.io,,,Existing
Marketplace,Unisat,https://unisat.io,,,Existing
Marketplace,TokenTrove,https://tokentrove.com,,,Existing
Marketplace,Polymarket,https://polymarket.com,,,Existing
Marketplace,zetamarkets,https://zeta.markets,,,Existing
Marketplace,element,https://element.market,,,Existing
Marketplace,scatterart,https://scatterart.io,,,Existing
